time_range,revenue_in_usd,no_of_sales,price,url,rating,comments_count,category_path,tags
2025-12 Week 3,2842.0,58,49.0,https://codecanyon.net/item/filter-everything-wordpress-woocommerce-filter/31634508,4.91,298,Home / Files / WordPress / eCommerce / WooCommerce,"ajax filter, ajax product, ajax product filter, filter, post type filter, price filter, product filter, Product Filter for WooCommerce, woocommerce ajax filter, woocommerce filter, woocommerce filter plugin, woocommerce product filter, wordpress filter, wordpress filter plugin, wp ajax filter"
2025-12 Week 3,2303.0,47,49.0,https://codecanyon.net/item/media-folders-manager-for-wordpress/21715379,4.88,1,Home / Files / WordPress / Media,"export, file manager, filebird, gallery, image gallery, media folders, media library, post types, wordpress download media library, wordpress file manager, wordpress folders, wordpress media folder, wordpress media library, wordpress media library folders, wp media folder"
2025-12 Week 3,2210.0,34,65.0,https://codecanyon.net/item/perfex-powerful-open-source-crm/14013737,4.89,1,Home / Files / PHP Scripts / Project Management Tools,"client management, codeigniter, crm, estimates, expenses, invoice, lead management system, leads, project management, proposals, Recurring Invoice, support ticket, surveys, task, task management"
2025-12 Week 3,1989.0,51,39.0,https://codecanyon.net/item/magicai-openai-content-text-image-chat-code-generator-as-saas/45408109,4.92,378,Home / Files / PHP Scripts,"ai, ai assistant, ai chat, ai generator, ai image, ai video, ai writer, chat gpt, chatbot, dall-e, gpt4, open ai, saas, voice generator"
2025-12 Week 3,1711.0,29,59.0,https://codecanyon.net/item/agile-store-locator-google-maps-for-wordpress/16973546,4.94,411,Home / Files / WordPress / eCommerce / WooCommerce,"dealer locator, directions, find store, google maps, location finder, locations, maps, markers, multi-store, search widget, store finder, store locator, where to buy, woocommerce"
2025-12 Week 3,1602.0,18,89.0,https://codecanyon.net/item/mailwizz-email-marketing-application/6122150,4.8,790,Home / Files / PHP Scripts,"bounce, bulk email, bulk mailer, campaign, campaign email, campaign monitor, email, mail, mailchimp, mailer, mailpoet, marketing, newsletter, newsletter email, templates"
2025-12 Week 3,1311.0,19,69.0,https://codecanyon.net/item/real3d-flipbook-wordpress-plugin/6942587,4.57,550,Home / Files / WordPress / Galleries,"flip book, flipbook, flipbook wordpress, online catalog, online magazine, page flip, page turn, pdf, pdf embed, PDF Embedder, pdf flipbook, pdf viewer, PDF viewer wordpress, responsive flipbook, wordpress flipbook"
2025-12 Week 3,1298.0,22,59.0,https://codecanyon.net/item/fancy-product-designer-woocommercewordpress/6318393,4.47,810,Home / Files / WordPress / eCommerce / WooCommerce / Products,"custom product design, ecommerce, html5, jquery, Online Product Design Tool, product configurator, product designer, T-shirt Designer, wordpress T-shirt Designer"
2025-12 Week 3,1106.0,14,79.0,https://codecanyon.net/item/sms-gateway/21419519,4.97,188,Home / Files / PHP Scripts / Miscellaneous,"android app, api, bulk sms, host, mms, MMS Gateway, mobile, saas platform, service provider, sms gateway, sms marketing, tool, USSD, white label"
2025-12 Week 3,1092.0,28,39.0,https://codecanyon.net/item/ultimate-addons-for-visual-composer/6892199,4.74,2,Home / Files / WordPress / Add-ons,"addon, addons, extensions, visual composer, visual composer addon, visual composer addons, visual composer extension, visual composer wpbakery, wpbakery, wpbakery addon, wpbakery addons, wpbakery builder, wpbakery extension, wpbakery visual composer"
2025-12 Week 3,948.0,12,79.0,https://codecanyon.net/item/chauffeur-booking-system-for-wordpress/21072773,4.67,327,Home / Files / WordPress / Calendars,"automotive, booking, cab, cab booking, car, car hire, car rental, limo, limousine, limousine booking, service, taxi, taxi app, taxi booking, taxi cab"
2025-12 Week 3,936.0,24,39.0,https://codecanyon.net/item/wordpress-automatic-plugin/1904470,4.82,2,Home / Files / WordPress,"ai, ai content, amazon, articles, autoblog, automatic, careerjet, chatgpt, clickbank, ebay, facebook, feeds, gpt, openai, youtube"
2025-12 Week 3,912.0,12,76.0,https://codecanyon.net/item/whatsmarksaas-whatsapp-marketing-automation-saas-platform-with-bots-chats-bulk-sender-ai/58714968,4.87,45,Home / Files / PHP Scripts / Help and Support Tools,"ai chat, bots, bulk sender, campaigns, chat, chatbot, cloud api, crm, marketing, saas, tenant, whatsapp, whatsapp api, whatsapp campaigns, whatsapp marketing"
2025-12 Week 3,897.0,3,299.0,https://codecanyon.net/item/universal-modules-bundle-for-tabletrack/60154227,,1,Home / Files / PHP Scripts / Add-ons,"backup, bundle, cost-effective, future-proof, inventory, kiosk, language, modules, multikitchen, plugin, restaurant, saas, subdomain, tabletrack, universalbundle"
2025-12 Week 3,897.0,3,299.0,https://codecanyon.net/item/universal-modules-bundle-for-worksuite-saas/48913734,5.0,23,Home / Files / PHP Scripts / Add-ons,"affiliate, asset, bundle, module, payroll, saas, universal, worksuite"
2025-12 Week 3,891.0,9,99.0,https://codecanyon.net/item/6ammart-multivendor-food-grocery-ecommerce-parcel-pharmacy-delivery-app-with-admin-website/36772112,4.79,214,Home / Files / Mobile / Flutter,"6amtech, delivery app, delivery system, ecommerce app, food delivery app, grocery delivery app, multi seller, multi-vendor, multi-vendor ecommerce app, online multi vendor shop, parcel delivery app, pharmacy delivery app, premium shopping cart, shopping cart software"
2025-12 Week 3,882.0,1,882.0,https://codecanyon.net/item/omee-admin-dashboard-html-5-tailwind-responsive-template/42925523,,0,Home / Files / HTML5 / Templates,"admin, admin dashboard, admin template, react admin, responsive, responsive admin, tailwind, tailwind admin, tailwind admin template, web app"
2025-12 Week 3,828.0,12,69.0,https://codecanyon.net/item/ultimate-membership-pro-wordpress-plugin/12159253,4.57,987,Home / Files / WordPress / Membership,"Content Locker, content restriction, members directory, membership plugin for wordpress, membership plugin wordpress, membership plugins wordpress, membership wordpress plugin, paypal, subscription, user management, woocommerce, woocommerce subscription, wordpress membership plugin, wordpress membership plugins, wordpress plugin membership"
2025-12 Week 3,828.0,12,69.0,https://codecanyon.net/item/lumise-product-designer-woocommerce-wordpress/21222684,4.78,814,Home / Files / WordPress / eCommerce / WooCommerce / Products,"custom product design, ecommerce, king-theme, lumise, lumise designer, lumise product design, Online Product Design Tool, product configurator, product designer, product designer woocommerce, product designer wordpress, shoes designer, T-shirt Designer, woocommerce"
2025-12 Week 3,828.0,12,69.0,https://codecanyon.net/item/rise-ultimate-project-manager/15455641,4.91,536,Home / Files / PHP Scripts / Project Management Tools,"client management, crm, estimates, event calendar, expense, freelance, hrm, invoice, modern, office management, project management, task management, ticket system, user management"
2025-12 Week 3,816.0,24,34.0,https://codecanyon.net/item/woocommerce-multi-currency/20948446,4.92,181,Home / Files / WordPress / eCommerce / WooCommerce / Products,"ai, currency converter, currency shortcode, currency switcher plugin, currency widget, ecommerce, multi currencies, multi currency for woocommerce, woo multi currency, woocommerce, woocommerce currency, woocommerce currency switcher, woocommerce custom currency, woocommerce multi currency, wordpress"
2025-12 Week 3,814.0,11,74.0,https://codecanyon.net/item/wpbakery-page-builder-for-wordpress/242431,4.63,11,Home / Files / WordPress / Utilities,"ai, best page builder for wordpress, column, composer, content builder, drag and drop, editor, gallery, inline, page builder, shortcodes, slider, wordpress backend editor, wordpress frontend editor, wpbakery page builder"
2025-12 Week 3,795.0,5,159.0,https://codecanyon.net/item/taxido-react-native-online-taxi-booking-with-cab-rental-bidding-parcel-admin-laravel-panel/56450809,4.33,6,Home / Files / Mobile,"android cab book app, bidding taxi app, booking cab, cab booking app, full taxi solution, grab taxi app, in driver clone, ios cab book app, movers, ola full taxi app, parcel app, rental cab booking, taxi application, taxi solution, uber clone app"
2025-12 Week 3,792.0,8,99.0,https://codecanyon.net/item/ajax-search-pro-for-wordpress-live-search-plugin/3357410,4.84,1,Home / Files / WordPress / Utilities,"ajax live search, ajax search, ajax search for wordpress, best search for wordpress, instant search plugin, live search, search, search autocomplete, search engine, search filter, shortcodes, wordpress ajax, wordpress live search plugin, wordpress search, wp ajax search"
2025-12 Week 3,790.0,10,79.0,https://codecanyon.net/item/hbook-hotel-booking-system-wordpress-plugin/10622779,4.88,509,Home / Files / WordPress / Calendars,"apartment rental, availability calendar, b&b, bed and breakfast, calendar synchronization, campground reservation, camping booking, hotel booking system, hotel management, online reservation, property management, property rental, reservation system, vacation rental, Villa Booking"
2025-12 Week 3,716.0,4,179.0,https://codecanyon.net/item/universal-plugins-bundle-for-rocket-lms/33297004,5.0,300,Home / Files / PHP Scripts / Project Management Tools,"academy, bigbluebutton, class, courses, education, forum, homework, learning, learning management system, lms, meeting, rocket lms, scorm, subscription, udemy"
2025-12 Week 3,649.0,11,59.0,https://codecanyon.net/item/import-shopify-to-woocommerce/23741313,4.76,34,Home / Files / WordPress / eCommerce / WooCommerce / Miscellaneous,"ecommerce, migrating from shopify to woocommerce, move shopify to woocommerce, shopify, shopify csv to woocommerce, shopify to woocommerce importer, shopify to woocommerce migration, woocommerce, wordpress"
2025-12 Week 3,625.0,5,125.0,https://codecanyon.net/item/colibrism-the-ultimate-php-modern-social-media-sharing-platform/26612898,4.48,160,Home / Files / PHP Scripts / Social Networking,"colibri social media, colibrism script, forum, forum script, instagram clone, news script, php social platform, social media, social network, social network script, social script, twitter clone"
2025-12 Week 3,623.0,7,89.0,https://codecanyon.net/item/agentlabs-ai-voice-calling-agents-lead-intelligence-saas-platform/60751656,5.0,9,Home / Files / JavaScript,"ai call center, ai voice agent, Bulk Auto Dialer Script, Business Automation Tool, Call Analytics Dashboard, Call Automation Platform, Cold Calling Automation, Conversational AI Calling, Lead Qualification System, multi tenant saas, node.js backend, react frontend, Smart Dialer, twilio voice api, Voice Broadcasting Software"
2025-12 Week 3,599.0,1,599.0,https://codecanyon.net/item/6amtech-ecommerce-solution-bundle-all-modules-of-6ammart-6valley-stackfood-demandium-and-more/52229779,3.6,5,Home / Files / Mobile / Flutter,"6ammart, 6cash, 6pos, 6valley, demandium, efood, grofresh, hexacom, stackfood"
